step 00049 (5.31%) | loss: 2.166386 | lrm: 1.00 | dt: 3261.08ms | tok/sec: 40,192 | mfu: 0.00 | epoch: 1 | total time: 2.13m
step 00050 (5.41%) | loss: 2.164328 | lrm: 1.00 | dt: 3234.60ms | tok/sec: 40,521 | mfu: 0.00 | epoch: 1 | total time: 2.18m
step 00051 (5.52%) | loss: 2.141565 | lrm: 1.00 | dt: 3233.29ms | tok/sec: 40,538 | mfu: 0.00 | epoch: 1 | total time: 2.23m
step 00052 (5.63%) | loss: 2.167212 | lrm: 1.00 | dt: 3178.81ms | tok/sec: 41,233 | mfu: 0.00 | epoch: 1 | total time: 2.29m
step 00053 (5.74%) | loss: 2.127580 | lrm: 1.00 | dt: 3211.56ms | tok/sec: 40,812 | mfu: 0.00 | epoch: 1 | total time: 2.34m
step 00054 (5.85%) | loss: 2.107108 | lrm: 1.00 | dt: 3258.86ms | tok/sec: 40,220 | mfu: 0.00 | epoch: 1 | total time: 2.39m
step 00055 (5.96%) | loss: 2.094254 | lrm: 1.00 | dt: 3257.01ms | tok/sec: 40,243 | mfu: 0.00 | epoch: 1 | total time: 2.45m
step 00056 (6.07%) | loss: 2.105984 | lrm: 1.00 | dt: 3300.50ms | tok/sec: 39,712 | mfu: 0.00 | epoch: 1 | total time: 2.50m
step 00057 (6.17%) | loss: 2.062179 | lrm: 1.00 | dt: 3191.98ms | tok/sec: 41,062 | mfu: 0.00 | epoch: 1 | total time: 2.56m
step 00058 (6.28%) | loss: 1.938755 | lrm: 1.00 | dt: 3151.51ms | tok/sec: 41,590 | mfu: 0.00 | epoch: 1 | total time: 2.61m
step 00059 (6.39%) | loss: 1.911692 | lrm: 1.00 | dt: 3246.92ms | tok/sec: 40,368 | mfu: 0.00 | epoch: 1 | total time: 2.66m
step 00060 (6.50%) | loss: 1.878647 | lrm: 1.00 | dt: 3238.54ms | tok/sec: 40,472 | mfu: 0.00 | epoch: 1 | total time: 2.72m
step 00061 (6.60%) | loss: 1.873896 | lrm: 1.00 | dt: 3295.92ms | tok/sec: 39,767 | mfu: 0.00 | epoch: 1 | total time: 2.77m
step 00062 (6.71%) | loss: 1.876295 | lrm: 1.00 | dt: 3261.56ms | tok/sec: 40,186 | mfu: 0.00 | epoch: 1 | total time: 2.83m
step 00063 (6.81%) | loss: 1.852945 | lrm: 1.00 | dt: 3240.90ms | tok/sec: 40,443 | mfu: 0.00 | epoch: 1 | total time: 2.88m
step 00064 (6.92%) | loss: 1.867966 | lrm: 1.00 | dt: 3278.82ms | tok/sec: 39,975 | mfu: 0.00 | epoch: 1 | total time: 2.94m
step 00065 (7.03%) | loss: 1.904461 | lrm: 1.00 | dt: 3290.39ms | tok/sec: 39,834 | mfu: 0.00 | epoch: 1 | total time: 2.99m
step 00066 (7.14%) | loss: 1.935814 | lrm: 1.00 | dt: 3244.96ms | tok/sec: 40,392 | mfu: 0.00 | epoch: 1 | total time: 3.04m
step 00067 (7.25%) | loss: 1.929994 | lrm: 1.00 | dt: 3238.90ms | tok/sec: 40,468 | mfu: 0.00 | epoch: 1 | total time: 3.10m
step 00068 (7.36%) | loss: 1.925484 | lrm: 1.00 | dt: 3283.42ms | tok/sec: 39,919 | mfu: 0.00 | epoch: 1 | total time: 3.15m
step 00069 (7.46%) | loss: 1.916487 | lrm: 1.00 | dt: 3266.76ms | tok/sec: 40,122 | mfu: 0.00 | epoch: 1 | total time: 3.21m
step 00070 (7.58%) | loss: 1.919855 | lrm: 1.00 | dt: 3253.93ms | tok/sec: 40,281 | mfu: 0.00 | epoch: 1 | total time: 3.26m
step 00071 (7.69%) | loss: 1.910150 | lrm: 1.00 | dt: 3302.80ms | tok/sec: 39,685 | mfu: 0.00 | epoch: 1 | total time: 3.32m
step 00072 (7.80%) | loss: 1.910685 | lrm: 1.00 | dt: 3254.25ms | tok/sec: 40,277 | mfu: 0.00 | epoch: 1 | total time: 3.37m
step 00073 (7.91%) | loss: 1.909012 | lrm: 1.00 | dt: 3323.61ms | tok/sec: 39,436 | mfu: 0.00 | epoch: 1 | total time: 3.43m
step 00074 (8.02%) | loss: 1.938429 | lrm: 1.00 | dt: 3266.41ms | tok/sec: 40,127 | mfu: 0.00 | epoch: 1 | total time: 3.48m
step 00075 (8.13%) | loss: 1.933277 | lrm: 1.00 | dt: 3302.93ms | tok/sec: 39,683 | mfu: 0.00 | epoch: 1 | total time: 3.54m
step 00076 (8.23%) | loss: 1.911107 | lrm: 1.00 | dt: 3296.38ms | tok/sec: 39,762 | mfu: 0.00 | epoch: 1 | total time: 3.59m
step 00077 (8.34%) | loss: 1.908377 | lrm: 1.00 | dt: 3240.28ms | tok/sec: 40,450 | mfu: 0.00 | epoch: 1 | total time: 3.64m
step 00078 (8.45%) | loss: 1.929385 | lrm: 1.00 | dt: 3254.47ms | tok/sec: 40,274 | mfu: 0.00 | epoch: 1 | total time: 3.70m
step 00079 (8.56%) | loss: 1.918307 | lrm: 1.00 | dt: 3343.13ms | tok/sec: 39,206 | mfu: 0.00 | epoch: 1 | total time: 3.75m
step 00080 (8.67%) | loss: 1.933561 | lrm: 1.00 | dt: 3256.68ms | tok/sec: 40,247 | mfu: 0.00 | epoch: 1 | total time: 3.81m
step 00081 (8.77%) | loss: 1.860456 | lrm: 1.00 | dt: 3275.16ms | tok/sec: 40,020 | mfu: 0.00 | epoch: 1 | total time: 3.86m
step 00082 (8.88%) | loss: 1.863591 | lrm: 1.00 | dt: 3312.88ms | tok/sec: 39,564 | mfu: 0.00 | epoch: 1 | total time: 3.92m
step 00083 (8.99%) | loss: 1.875396 | lrm: 1.00 | dt: 3269.01ms | tok/sec: 40,095 | mfu: 0.00 | epoch: 1 | total time: 3.97m
step 00084 (9.10%) | loss: 1.873450 | lrm: 1.00 | dt: 3272.13ms | tok/sec: 40,057 | mfu: 0.00 | epoch: 1 | total time: 4.03m
step 00085 (9.20%) | loss: 1.852582 | lrm: 1.00 | dt: 3254.13ms | tok/sec: 40,278 | mfu: 0.00 | epoch: 1 | total time: 4.08m
step 00086 (9.31%) | loss: 1.882860 | lrm: 1.00 | dt: 3258.69ms | tok/sec: 40,222 | mfu: 0.00 | epoch: 1 | total time: 4.14m
